,tweets,cleaned_tweets
0,"RT @PurplePearl__: Stop loosing money to betting 🔥🔥🔥
Click the link below if you’re looking for a legit telegram channel for sports bets an…","rt purplepearl stop loosing money to betting 
click the link below if you’re looking for a legit telegram channel for sports bets an…"
1,"RT @SportsLawCon: Founder of DOCIAsport, an award winning consultancy that focuses on the duty of care in sport, Ian Braid will be speaking…",rt sportslawcon founder of dociasport an award winning consultancy that focuses on the duty of care in sport ian braid will be speaking…
2,Sam went on to work @EastleaSchool and also to work for West Ham School Sports Assciation AND is still going strong… https://t.co/63pOn4LSg3,sam went on to work eastleaschool and also to work for west ham school sports assciation and is still going strong httpstco63pon4lsg3
3,I only started my Sunday football team in the hope that I would get recognised for my influence on local sports &amp; c… https://t.co/RWmMWegYbo,i only started my sunday football team in the hope that i would get recognised for my influence on local sports amp c httpstcorwmmwegybo
4,RT @stephanokiko: FREE READ [PDF] Buffalo Bills Football Quiz Book: 500 Questions on the Legends of Orchard Park (Sports Quiz Books) https:…,rt stephanokiko free read pdf buffalo bills football quiz book 500 questions on the legends of orchard park sports quiz books https…
5,Veteran sports anchor Fred Hickman dies https://t.co/g2XLFJWOXs,veteran sports anchor fred hickman dies httpstcog2xlfjwoxs
6,"Framed Martin Brodeur New Jersey Devils Autographed White Adidas Authentic Jersey with """"HOF 2018"""" Inscription | $… https://t.co/OJxEztm1Zo",framed martin brodeur new jersey devils autographed white adidas authentic jersey with hof 2018 inscription   httpstcoojxeztm1zo
7,"India vs England Live Score,T20 World Cup 2022 Semi-final: Virat Kohli falls;Hardik Pandya leads India's final push… https://t.co/Upa5G2e4W1",india vs england live scoret20 world cup 2022 semifinal virat kohli fallshardik pandya leads indias final push httpstcoupa5g2e4w1
8,"#T20WorldCup #INDvENG #INDvsENG #Semifinal - 2

#JosButtler and #AlexHales are in the middle to begin England's 169… https://t.co/cdd1s7Vv6W","t20worldcup indveng indvseng semifinal  2

josbuttler and alexhales are in the middle to begin englands 169 httpstcocdd1s7vv6w"
9,"RT @REALISE_innOV8: @BarbaraRich_law @kevin_ovenden @soniasodha @ChtyCommission 
UK charities lobby political parties, governments, local a…","rt realiseinnov8 barbararichlaw kevinovenden soniasodha chtycommission 
uk charities lobby political parties governments local a…"
10,RT @salimosaid: Singida Big Stars v Simba replay on Azam Sports 1 HD for the diehards who missed it. #LigiKuu,rt salimosaid singida big stars v simba replay on azam sports 1 hd for the diehards who missed it ligikuu
11,"RT @StarSportsIndia: Stop what you are doing and turn on the 📺, ‘cause @imVkohli has walked out in the middle! 🫅

#INDvENG #ViratKohli #Kin…","rt starsportsindia stop what you are doing and turn on the  ‘cause imvkohli has walked out in the middle 

indveng viratkohli kin…"
12,", ""this sports m14  0.0A5A #上海 #线下 https://t.co/nkM1X10AJh", this sports m14  00a5a   httpstconkm1x10ajh
13,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
14,“Sports Day” was a chance for our trainees and staff to step out of the classrooms and enjoy active outdoors fun! 😃… https://t.co/5gsrDxS3Pb,“sports day was a chance for our trainees and staff to step out of the classrooms and enjoy active outdoors fun  httpstco5gsrdxs3pb
15,6 Expert Predictions for the Seminoles https://t.co/IIgfdkfb2K,6 expert predictions for the seminoles httpstcoiigfdkfb2k
16,"RT @PurplePearl__: Stop loosing money to betting 🔥🔥🔥
Click the link below if you’re looking for a legit telegram channel for sports bets an…","rt purplepearl stop loosing money to betting 
click the link below if you’re looking for a legit telegram channel for sports bets an…"
17,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
18,"RT @Nyksindia: Flashback of #CleanIndia2.
Union Minister of Youth Affairs and Sports Shri
@ianuragthakur was in full action during the Mega…","rt nyksindia flashback of cleanindia2
union minister of youth affairs and sports shri
ianuragthakur was in full action during the mega…"
19,"RT @bemediagroupau: In the latest article from @chainsawdotcom, our CEO Jordan Fogarty talks how Web3 is revolutionising Sports. Hint: It's…",rt bemediagroupau in the latest article from chainsawdotcom our ceo jordan fogarty talks how web3 is revolutionising sports hint its…
20,RT @IvanOjakol: Those controversial clauses; 49 and 50 of the Magogo Sports Bill raise the age-old debate which I have explored in my colum…,rt ivanojakol those controversial clauses 49 and 50 of the magogo sports bill raise the ageold debate which i have explored in my colum…
21,"RT @StreetGameWales: We are working with @AllianceOfSport and @SFDCoalition to deliver a new £5m fund from 
@MoJGovUK, supporting sports pr…","rt streetgamewales we are working with allianceofsport and sfdcoalition to deliver a new £5m fund from 
mojgovuk supporting sports pr…"
22,"@cotd1106 @charleijeanr2 @dannyoneil He's now a verified primadonna/diva, who cares more about his rich-guy image t… https://t.co/y5oNQkz3c2",cotd1106 charleijeanr2 dannyoneil hes now a verified primadonnadiva who cares more about his richguy image t httpstcoy5onqkz3c2
23,"RT @PurplePearl__: Stop loosing money to betting 🔥🔥🔥
Click the link below if you’re looking for a legit telegram channel for sports bets an…","rt purplepearl stop loosing money to betting 
click the link below if you’re looking for a legit telegram channel for sports bets an…"
24,FREE READ [PDF] Buffalo Bills Football Quiz Book: 500 Questions on the Legends of Orchard Park (Sports Quiz Books)… https://t.co/MLDyf9qekI,free read pdf buffalo bills football quiz book 500 questions on the legends of orchard park sports quiz books httpstcomldyf9qeki
25,"RT @jhopeGlobaI: [📰] Kmedia reported that The Ministry of Culture, Sports and Tourism and the Korea Tourism Organization announced that the…",rt jhopeglobai  kmedia reported that the ministry of culture sports and tourism and the korea tourism organization announced that the…
26,"Gold Medal Winner for India International Sports Women Chandrakanta Rajpurohit Ignorance on GK1 MCD Seat,bcause of… https://t.co/HsgyMd2jMh",gold medal winner for india international sports women chandrakanta rajpurohit ignorance on gk1 mcd seatbcause of httpstcohsgymd2jmh
27,"RT @Nyksindia: Flashback of #CleanIndia2.
Union Minister of Youth Affairs and Sports Shri
@ianuragthakur was in full action during the Mega…","rt nyksindia flashback of cleanindia2
union minister of youth affairs and sports shri
ianuragthakur was in full action during the mega…"
28,@DineshDSouza Yet another trans in women’s sports!👎,dineshdsouza yet another trans in women’s sports
29,"RT @NJCAAWrestling: 🚨 Indian Hills claimed the No. 1 spot in the first-ever #NJCAAWrestle Women's Poll!

Full rankings ⤵️
https://t.co/KTnZ…","rt njcaawrestling  indian hills claimed the no 1 spot in the firstever njcaawrestle womens poll

full rankings 
httpstcoktnz…"
30,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
31,"#SureWin247 on Monday - Friday with our hosts Whitney, Wilfred and Solomon #NEWS247 #SureWin247 @RockBoom_UG for mo… https://t.co/eEReSLpKbJ",surewin247 on monday  friday with our hosts whitney wilfred and solomon news247 surewin247 rockboomug for mo httpstcoeereslpkbj
32,Netflix is ‘exploring streaming live sports after losing out on US F1 and ATP tennis coverage’ https://t.co/OSMixoo8ah,netflix is ‘exploring streaming live sports after losing out on us f1 and atp tennis coverage httpstcoosmixoo8ah
33,RT @musicstruggles1: @RealTransfersNe there should be a feature that allows me to block everyone with a sports pfp,rt musicstruggles1 realtransfersne there should be a feature that allows me to block everyone with a sports pfp
