0,1,2,0,0
0,"RT @OnPointWriters2: We are reliable to offer you A grade in your;
✓nursing
✓essays
✓chemistry
✓finance
✓physics
✓biology
✓physics
✓chemist…","rt onpointwriters2 we are reliable to offer you a grade in your
nursing
essays
chemistry
finance
physics
biology
physics
chemist…",False,98.62%
1,"RT @abelfinance: 🌱​ABEL Finance - Testnet Round I 
You can now access to get Whitelisted on @crew3xyz 

Join Whitelist👉
🌈 Crew3 Questboard…","rt abelfinance ​abel finance  testnet round i 
you can now access to get whitelisted on crew3xyz 

join whitelist
 crew3 questboard…",False,98.89%
2,"RT @taegiveaway: 📢 Fintoch's Asia-Pacific market event will be grandly opened on November 3 at the Genting Hotel in Malaysia. 

🚀 Let‘s loo…","rt taegiveaway  fintochs asiapacific market event will be grandly opened on november 3 at the genting hotel in malaysia 

 let‘s loo…",False,99.44%
3,"The whole panel is talking blended finance (public + private) as central to achieve climate goals, and that private… https://t.co/Fg8yairvvS",the whole panel is talking blended finance public  private as central to achieve climate goals and that private httpstcofg8yairvvs,True,99.45%
4,"RT @FTXteamsupports: 🎉🏆🏆 To Celebrate acquisition FTX to Binance successfully

🎁Buy $FTT min 0.3 $BNB get rewards 500 $FTT + 1 $BNB

🔗Contr…","rt ftxteamsupports  to celebrate acquisition ftx to binance successfully

buy ftt min 03 bnb get rewards 500 ftt  1 bnb

contr…",True,98.62%
5,RT @hughes_onair: Parliament takes a vote of censure on Finance Minister Ken Ofori-Atta today. Should your MP vote to sack KOA or should he…,rt hughesonair parliament takes a vote of censure on finance minister ken oforiatta today should your mp vote to sack koa or should he…,True,98.89%
6,"RT @HarteyWM: How can a wealth manager help you with your personal finance?

The task of managing your money and other assets is a full-tim…","rt harteywm how can a wealth manager help you with your personal finance

the task of managing your money and other assets is a fulltim…",True,99.44%
7,"RT @MertiumCrypto: Research: Bitcoin options traders expect price to hit $30,000 in Q4

News Source:  @cryptoslate
Author: @WanSamuel, @jim…","rt mertiumcrypto research bitcoin options traders expect price to hit 30000 in q4

news source  cryptoslate
author wansamuel jim…",True,99.45%
8,"RT @WrexhamFinance: What would happen if your biggest client couldn’t pay your invoice? 

Could you absorb the loss and carry on?

If the a…","rt wrexhamfinance what would happen if your biggest client couldn’t pay your invoice 

could you absorb the loss and carry on

if the a…",True,98.62%
9,"The way people dressed, acted and projects being shown at Breakpoint represents the mainstream much more than ETH.… https://t.co/BwquropEkj",the way people dressed acted and projects being shown at breakpoint represents the mainstream much more than eth httpstcobwquropekj,True,98.89%
10,"We are reliable to offer you A grade in your;
✓nursing
✓essays
✓chemistry
✓finance
✓physics
✓biology
✓physics
✓chem… https://t.co/CmgVmJQayA","we are reliable to offer you a grade in your
nursing
essays
chemistry
finance
physics
biology
physics
chem httpstcocmgvmjqaya",True,99.44%
11,But I can’t see the Sol community and ecosystem just withering away. I’ve been to enough ETH events and there is a… https://t.co/3wsYXAy72Z,but i can’t see the sol community and ecosystem just withering away i’ve been to enough eth events and there is a httpstco3wsyxay72z,True,99.45%
12,"RT @gavreilly: …💶 the Finance Committee conducts line-by-line scrutiny of the Finance Bill

🕊️ The Good Friday Agreement Committee meets Am…","rt gavreilly … the finance committee conducts linebyline scrutiny of the finance bill

 the good friday agreement committee meets am…",False,98.62%
13,"RT @Aptos_Network: 🔹Aptos Ecosystem Highlight🔹

@TortugaFinance is building the premiere non-custodial liquid staking protocol on Aptos.

C…","rt aptosnetwork aptos ecosystem highlight

tortugafinance is building the premiere noncustodial liquid staking protocol on aptos

c…",False,98.89%
14,@Arc__Finance Can you tell us about the main targets your project are currently focusing on and the market you are… https://t.co/38rm9hSXQW,arcfinance can you tell us about the main targets your project are currently focusing on and the market you are httpstco38rm9hsxqw,False,99.44%
15,"“It was all good just a week ago” - Jay-Z

I got into Lisbon for Solana Breakpoint and through to Monday the energy… https://t.co/s2zVdQV9oY","“it was all good just a week ago  jayz

i got into lisbon for solana breakpoint and through to monday the energy httpstcos2zvdqv9oy",False,99.45%
