0,1,2,0,0
0,RT @ClemMinister: I have studied &amp; followed politics for years. There is no doubt in my mind that this the most right wing Labour Party I h…,rt clemminister i have studied amp followed politics for years there is no doubt in my mind that this the most right wing labour party i h…,False,98.61%
1,RT @FoxNews: Pennsylvania state representative reelected despite being dead https://t.co/W1BDbXiz8d,rt foxnews pennsylvania state representative reelected despite being dead httpstcow1bdbxiz8d,False,98.99%
2,"@mypalfootfoot7 She is right. You can show you are human with your politics, and how you approach your job. Some MP… https://t.co/quDp4g5CDf",mypalfootfoot7 she is right you can show you are human with your politics and how you approach your job some mp httpstcoqudp4g5cdf,False,99.56%
3,"RT @PiersUncensored: ""My oldest son always wanted me out of politics... 

""But I feel we human beings have a responsibility to society.""

I…","rt piersuncensored my oldest son always wanted me out of politics 

but i feel we human beings have a responsibility to society

i…",True,99.54%
4,"RT @mjs_DC: If Republicans win control of the House of Representatives by current projections, their victory can be attributed to the Supre…",rt mjsdc if republicans win control of the house of representatives by current projections their victory can be attributed to the supre…,True,98.61%
5,RT @theFatimaN: Imran Khan mentioned that his elder son always wanted him to get out of the politics as he is a bit sensitive. I don’t thin…,rt thefatiman imran khan mentioned that his elder son always wanted him to get out of the politics as he is a bit sensitive i don’t thin…,True,98.99%
6,"RT @Sathyantweets: 3 News items under the heading tells you about BJP’s politics.

The State Governments have been elected by the people an…","rt sathyantweets 3 news items under the heading tells you about bjp’s politics

the state governments have been elected by the people an…",True,99.56%
7,"RT @johnestevens: Are nurses paid enough?

Cabinet minister Chris Heaton-Harris tells @KayBurley: “That’s very difficult to judge… it’s a v…","rt johnestevens are nurses paid enough

cabinet minister chris heatonharris tells kayburley “that’s very difficult to judge it’s a v…",True,99.54%
8,"RT @PiersUncensored: ""My oldest son always wanted me out of politics... 

""But I feel we human beings have a responsibility to society.""

I…","rt piersuncensored my oldest son always wanted me out of politics 

but i feel we human beings have a responsibility to society

i…",True,98.61%
9,"RT @iihtishamm: My elder son always wanted me to get out of the politics. He’s a bit sensitive, IK",rt iihtishamm my elder son always wanted me to get out of the politics he’s a bit sensitive ik,True,98.99%
10,"RT @PiersUncensored: ""My oldest son always wanted me out of politics... 

""But I feel we human beings have a responsibility to society.""

I…","rt piersuncensored my oldest son always wanted me out of politics 

but i feel we human beings have a responsibility to society

i…",True,99.56%
11,@tomhfh These identity politics cretins are so firmly entrenched that they find themselves opposing A&amp;E nurses. Tha… https://t.co/ShJGAauu6W,tomhfh these identity politics cretins are so firmly entrenched that they find themselves opposing aampe nurses tha httpstcoshjgaauu6w,True,99.54%
12,Inside the Council for National Policy - ABC News https://t.co/I863PfCmW4,inside the council for national policy  abc news httpstcoi863pfcmw4,False,98.61%
13,RT @ColinBrazierTV: The SNP finds it hard to agree on what a ‘woman’ is. We shouldn’t be surprised that they have no appreciation of the me…,rt colinbraziertv the snp finds it hard to agree on what a ‘woman is we shouldn’t be surprised that they have no appreciation of the me…,False,98.99%
